Word	Romanised Word	Pronunciation	Variant Number	Comments
কচম	kcm	k O . s O m	0	
কচোন	kco2n	k O . s U n	0	
কছোন	kCo2n	k O . s U n	0	
কঠিন	kT`I2n	k o . T i n	0	
কত	kt	k o t	0	
কতনো	ktno2	k o t  . n u	0	
কতো	kto2	k o . t u	0	
কথমপি	kTmpI2	k O . T O m . p i	0	
কথা	kTA2	k O . T a	0	
কথাই	kTA2I	k O . T a i	0	
কথাও	kTA2o	k O . T a U	0	
কথাটো	kTA2t`o2	k O . T a . t U	0	
কথাতো	kTA2to2	k O . T a . t U	0	
কথাবোৰ	kTA2bo2r	k O . T a . b U r	0	
কনক	knk	k O . n O k	0	
কনফিডেনছিয়েল	knPI2d`e2nCI2ye2l	k O n . P i . d E  n . s i . j E l	0	
কন্দৰ্পৰ	kn+dr+pr	k O n . d O r . p O r	0	
কন্যা	kn+YA2	k O i n . j a	0	
কপি	kpI2	k O . p i	0	
কপিল	kpI2l	k o . p i l	0	
কব	kb	k O b O	0	
কবাত	kbA2t	k O . b a t	0	
কবি	kbI2	k o . b i	0	
কবৰখানাৰ	kbrKA2nA2r	k O . b O r  . K a . n a r	0	
কম	km	k O m	0	
কমনে	kmne2	k O m  . n E	0	
কমপ্লিট	kmp+lI2t`	k O m  . p l i t	0	
কমাই	kmA2I	k O . m a i	0	
কমাৰ্চিয়েল	kmA2r+cI2ye2l	k O . m a r . s i . j E l	0	
কমি	kmI2	k O . m i	0	
কম্পিউটাৰ	km+pI2Ut`A2r	k O m . p i u . t a r	0	
কম্পিউটাৰৰ	km+pI2Ut`A2rr	k O m . p i u . t a . r O r	0	
কম্পিউটো	km+pI2Ut`o2	k O m . p i u . t U	0	
কল	kl	k O l	0	
কলতো	klto2	k O  l  . t U	0	
কলা	klA2	k O . l a	0	
কলাক	klA2k	k O . l a k	0	
কলিকতালৈ	klI2ktA2le4	k o . l i . k O . t a . l oi	0	
কলিতা	klI2tA2	k o . l i . t a	0	
কলে	kle2	k O . l E	apostrophe	
কলেজৰ	kle2jr	k O . l E . z O r	0	
কলেদি	kle2dI2	k O . l e . d i	0	
কলো	kle2A2	k o . l u	apostrophe	
কলো	klo2	k o . l u	0	
কল্কি	kl+kI2	k O l . k i	0	
কলৰ	klr	k O . l O r	0	
কষ্ট	ks`+t`	k O s . t O	0	
কা-	kA2-	k a	0	
কাই	kA2I	k a i	0	
কাইটীয়া	kA2It`i2yA2	k a i . t i . j a ~	0	
কাইলে	kA2Ile2	k a i . l E	0	
কাইলৈ	kA2Ile4	k a i . l oi	0	
কাকতৰ	kA2ktr	k a . k O . t O r	0	
কাকো	kA2ko2	k a . k U	0	
কাগজখিনি	kA2gjKI2nI2	k a . g O z  . K i . n i	0	
কাজিয়া	kA2jI2yA2	k a . z i . j a	0	
কাজিৰঙাৰ	kA2jI2rNA2r	k a . z i . r O N . a r	0	
কাটা	kA2t`A2	k a . t a	0	
কাটি	kA2t`I2	k a . t i	0	
কাঠৰ	kA2T`r	k a . T O r	0	
কাতি	kA2tI2	k a . t i	0	
কানাৰা	kA2nA2rA2	k a . n a . r a	0	
কানি	kA2nI2	k a . n i	0	
কানীয়াৰ	kA2ni2yA2r	k a . n i . j a r	0	
কান্দি	kA2n+dI2	k a n . d i	0	
কান্দোনৰ	kA2n+do2nr	k a n . d U . n O r	0	
কাপোৰ	kA2po2r	k a . p U r	0	
কাপোৰতো	kA2po2rto2	k a . p U  r  . t U	0	
কাপোৰেই	kA2po2re2I	k a . p U . r e i	0	
কাপোৰৰ	kA2po2rr	k a . p U . r O r	0	
কাম	kA2m	k a m	0	
কাম-	kA2m-	k a m	0	
কামখিনি	kA2mKI2nI2	k a m . K i . n i	0	
কামটো	kA2mt`o2	k a  m . t U	0	
কামত	kA2mt	k a . m O t	0	
কামাখ্যাত	kA2mA2K+YA2t	k a . m a i k . K j a t	0	
কামাখ্যালেহে	kA2mA2K+YA2le2he2	k a . m a i k. K  j a . l E . h E	0	
কামৰূপ	kA2mru2p	k a m . r u p	0	
কামৰূপৰো	kA2mru2pro2	k a m . r u . p O . r U	0	
কালি	kA2lI2	k a . l i	0	
কালিহে	kA2lI2he2	k a . l i . h E	0	
কালিৰ	kA2lI2r	k a . l i r	0	
কাশ্যপ	kA2S+Yp	k a i s . s j O p	0	
কাষত	kA2s`t	k a . x O t	0	
কাষতে	kA2s`te2	k a . x O . t E	0	
কাষৰীয়া	kA2s`ri2yA2	k a . x o . r i . j a	0	
কাহিনী	kA2hI2ni2	k a . h i . n i	0	
কাহিনীয়েও	kA2hI2ni2ye2o	k a . h i . n i . j e u	0	
কাহিলিপাৰা	kA2hI2lI2pA2rA2	k a . h i . l i . p a . r a	0	
কাহিলীপাৰা	kA2hI2li2pA2rA2	k a . h i . l i . p a . r a	0	
কাঢ়া	kA2r`A2	k a . r` a	0	
কায়ো	kA2yo2	k a . j o	0	
কাৰ	kA2r	k a r	0	
কাৰণ	kA2rn`	k a . r O n	0	
কাৰণে	kA2rn`e2	k a . r O . n E	0	
কাৰণেও	kA2rn`e2o	k a . r O . n E U	0	
কাৰণেতো	kA2rn`e2to2	k a . r O . n E . t U	0	
কাৰণেহে	kA2rn`e2he2	k a . r O . n E . h E	0	
কাৰনে	kA2rne2	k a . r O . n E	0	
কাৰাগাৰত	kA2rA2gA2rt	k a . r a . g a . r O t	0	
কাৰিকৰী	kA2rI2kri2	k a . r i . k o . r i	0	
কাৰেন্ট	kA2re2n+t`	k a . r E n t	0	
কাৰো	kA2ro2	k a . r U	0	
কাৰ্পণ্য	kA2r+pn`+Y	k a r . p o i n . j O	0	
কাৰ্বি	kA2r+bI2	k a r . b i	0	
কাৰ্য-কলাপক	kA2r+Y-klA2pk	k a r . z j O # k O . l a . p O k	0	
কাৰ্যসূচীৰ	kA2r+Ysu2ci2r	k a r . Z j O . x u . s i r	0	
কাৰ্যালয়ৰ	kA2r+YA2lyr	k a r . Z j a . l O . j O r	0	
কাৰৰ	kA2rr	k a . r O r	0	
কি	kI2	k i	0	
কিখন	kI2Kn	k i . K O n	0	
কিছুমান	kI2CU2mA2n	k i . s u . m a n	0	
কিজানি	kI2jA2nI2	k i . z a . n i	0	
কিটচেনতো	kI2t`ce2nto2	k i  t  . s E .  n  O . t U	0	
কিটাও	kI2t`A2o	k i . t a U	0	
কিডনী	kI2d`ni2	k i  d  . n i	0	
কিতাপ	kI2tA2p	k i . t a p	0	
কিতাপখন	kI2tA2pKn	k i . t a  p . K O n	0	
কিতাপখিনি	kI2tA2pKI2nI2	k i . t a p . K i . n i	0	
কিতো	kI2to2	k i . t u	0	
কিনা	kI2nA2	k i . n a	0	
কিনি	kI2nI2	k i . n i	0	
কিনিছিলো	kI2nI2CI2lo2	k i . n i . s i . l u	0	
কিনিছো	kI2nI2Ce2A2	k i . n i . s u	0	
কিনিব	kI2nI2b	k i . n i b O	0	
কিনিলিনে	kI2nI2lI2ne2	k i . n i . l i . n E	0	
কিনে	kI2ne2	k i . n E	0	
কিনো	kI2no2	k i . n u	0	
কিন্তু	kI2n+tU2	k i n . t u	0	
কিবা	kI2bA2	k i . b a	0	
কিবা-কানি	kI2bA2-kA2nI2	k i . b a # k a . n i	0	
কিবাকিবিত	kI2bA2kI2bI2t	k i . b a . k i . b i t	0	
কিবাকে	kI2bA2ke2	k i . b a . k E	0	
কিবাকৈ	kI2bA2ke4	k i . b a . k oi	0	
কিবি	kI2bI2	k i . b i	0	
কিবিবোৰ	kI2bI2bo2r	k i . b i . b u r	0	
কিমান	kI2mA2n	k i . m a n	0	
কিমানদিন	kI2mA2ndI2n	k i . m a n . d i n	0	
কিমাননো	kI2mA2nno2	k i . m a n  . n U	0	
কিমানে	kI2mA2ne2	k i . m a . n E	0	
কিমানৰ	kI2mA2nr	k i . m a . n O r	0	
কিহে	kI2he2	k i . h E	0	
কিহেদি	kI2he2dI2	k i . h e . d i	0	
কিহৰ	kI2hr	k i . h O r	0	
কিয়	kI2y	k i . j O	0	
কিয়া	kI2yA2	k i . j a	0	
কিৰণ	kI2rn`	k i . r O n	0	
কীৰ্ত্তন	ki2r+t+tn	k i r . t O n	0	
কুঁকি	kU2MkI2	k u ~ k i	0	
কুমাৰে	kU2mA2re2	k u . m a . r E	0	
কুলা	kU2lA2	k u . l a	0	
কৃষকসকলৰ	kr2s`ksklr	k  r i . x O  k  . x O . k O . l O r	0	
কৃষ্ণ	kr2s`+n`	k  r i s . n O	0	
কে-	ke2-	k E	0	
কেঁচুমতা	ke2McU2mtA2	k E ~ s u . m O . t a	0	
কেঁচুৱাৰ	ke2McU2wA2r	k E ~ s u . w a r	0	
কেই	ke2I	k e i	0	
কেইখন	ke2IKn	k e i . K O n	0	
কেইখনৰ	ke2IKnr	k e i . K O . n O r	0	
কেইটা	ke2It`A2	k e i . t a	0	
কেইটামান	ke2It`A2mA2n	k e i . t a . m a n	0	
কেইদিনমান	ke2IdI2nmA2n	k e i . d i . n . m a n	0	
কেইদিনৰ	ke2IdI2nr	k e i . d i . n O r	0	
কেইমাহৰ	ke2ImA2hr	k e i . m a . h O r	0	
কেঞ্চেল	ke2J+ce2l	k E n . s E l	0	
কেণ্ডিডেট	ke2n`+d`I2d`e2t`	k E n . d i . d E t	0	
কেতিয়া	ke2tI2yA2	k e . t i . j a	0	
কেতিয়াও	ke2tI2yA2o	k e . t i . j a U	0	
কেতিয়াবা	ke2tI2yA2bA2	k e . t i . j a . b a	0	
কেতেকী	ke2te2ki2	k e . t e . k i	0	
কেনে	ke2ne2	k E . n E	0	
কেনেকুৱা	ke2ne2kU2wA2	k e . n e . k u . w a	0	
কেনেকে	ke2ne2ke2	k E . n E . k E	0	
কেবল	ke2bl	k e . b O l	0	
কেবাগৰাকী	ke2bA2grA2ki2	k E . b a . g O . r a . k i	0	
কেবাটাও	ke2bA2t`A2o	k E . b a . t a U	0	
কেমৰ-	ke2mr-	k E . m O r	0	
কেলা	ke2lA2	k E . l a	0	
কেলেই	ke2le2I	k e . l e i	0	
কেয়াৰফুল	ke2yA2rPU2l	k E . j a r  . P u l	0	
কেৰম	ke2rm	k E . r O m	0	
কৈ	ke4	k oi	0	
কৈ-	ke4-	k oi	0	
কৈছা	ke4CA2	k oi . s a	0	
কৈছিল	ke4CI2l	k oi . s i l	0	
কৈছিলা	ke4CI2lA2	k oi . s i . l a	0	
কৈছিলি	ke4CI2lI2	k oi . s i . l i	0	
কৈছিলে	ke4CI2le2	k oi . s i . l E	0	
কৈছিলো	ke4CI2lo2	k oi . s i . l u	0	
কৈছে	ke4Ce2	k oi . s E	0	
কৈছেনো	ke4Ce2no2	k oi . s E . n U	0	
কৈছো	ke4Ce2A2	k oi . s U	0	
কৈছো	ke4Co2	k oi . s U	0	
কৈছোনে	ke4Co2ne2	k oi . s O . n E	0	
কৈলাশে	ke4lA2Se2	k oi . l a . x E	0	
কৈয়ে	ke4ye2	k oi . j E	0	
কোঁৱৰ	ko2Mwr	k U ~ w O r	0	
কোচিন	ko2cI2n	k o . s i n	0	
কোঠাটোৰ	ko2T`A2t`o2r	k U . T a . t U r	0	
কোঠাতে	ko2T`A2te2	k U . T a . t E	0	
কোঠালী	ko2T`A2li2	k U . T a . l i	0	
কোঠালীতে	ko2T`A2li2te2	k U . T a . l i . t E	0	
কোন	ko2n	k U n	0	
কোনকো	ko2nko2	k U n  . k U	0	
কোনজনী	ko2njni2	k U n . z O . n i	0	
কোনটো	ko2nt`o2	k U n  . t U	0	
কোনটোত	ko2nt`o2t	k U n . t U t	0	
কোনবা	ko2nbA2	k U . n U . b a	0	
কোনে	ko2ne2	k U . n E	0	
কোনেও	ko2ne2o	k U . n E U	0	
কোনো	ko2no2	k U . n U	0	
কোনোবা	ko2no2bA2	k U . n U . b a	0	
কোনোবাই	ko2no2bA2I	k U . n U . b a i	0	
কোম্পানী	ko2m+pA2ni2	k U m . p a . n i	0	
কোম্পানীত	ko2m+pA2ni2t	k U m . p a . n i t	0	
কোম্পানীৰে	ko2m+pA2ni2re2	k U m . p a . n i . r E	0	
কোষৰ	ko2s`r	k U . x O r	0	
কোৱা	ko2wA2	k U . w a	0	
কোৱাচোন	ko2wA2co2n	k U . w a . s U n	0	
কোৱাতো	ko2wA2to2	k U . w a . t U	0	
কোৱালিটি	ko2wA2lI2t`I2	k U . w a . l i . t i	0	
ক্লাচ	k+lA2c	k l a s	0	
ক্লাছ	k+lA2C	k l a s	0	
ক্লাব	k+lA2b	k l a b	0	
ক্লাবত	k+lA2bt	k l a . b O t	0	
ক্ষতি	k+s`tI2	K o . t i	0	
ক্ষেত্ৰত	k+s`e2t+rt	K E . t r O t	0	
কয়	ky	k O j	0	
কৰ	kr	k O r	0	
কৰক	krk	k O . r O k	0	
কৰবী	krbi2	k o . r o . b i	0	
কৰবীৰ	krbi2r	k o . r o . b i r	0	
কৰা	krA2	k O . r a	0	
কৰাটো	krA2t`o2	k O . r a . t U	0	
কৰাৰ	krA2r	k O . r a r	0	
কৰি	krI2	k o . r i	0	
কৰিছ	krI2C	k o . r i s O	0	
কৰিছনে	krI2Cne2	k o . r i . s O . n E	0	
কৰিছা	krI2CA2	k o . r i . s a	0	
কৰিছানে	krI2CA2ne2	k o . r i . s a . n E	0	
কৰিছিল	krI2CI2l	k o . r i . s i l	0	
কৰিছিলি	krI2CI2lI2	k o . r i . s i . l i	0	
কৰিছিলে	krI2CI2le2	k o . r i . s i . l E	0	
কৰিছিলো	krI2CI2lo2	k o . r i . s i . l u	0	
কৰিছে	krI2Ce2	k o . r i . s E	0	
কৰিছো	krI2Co2	k o . r i . s u	0	
কৰিছোঁ	krI2Co2M	k o . r i . s U ~	0	
কৰিব	krI2b	k o . r i b O	0	
কৰিবলে	krI2ble2	k o . r i . b O . l E	0	
কৰিবা	krI2bA2	k o . r i . b a	0	
কৰিবি	krI2bI2	k o . r i . b i	0	
কৰিম	krI2m	k o . r i m	0	
কৰিলি	krI2lI2	k o . r i . l i	0	
কৰিলে	krI2le2	k o . r i . l E	0	
কৰিলেও	krI2le2o	k o . r i . l e u	0	
কৰিলো	krI2lo2	k o . r i . l u	0	
কৰে	kre2	k O . r E	0	
কৰেনে	kre2ne2	k O . r E . n E	0	
কৰো	kre2A2	k O . r U ~	nasalization in spelling for the first person singular morpheme	
কৰোৱেই	kre2A2we2I	k O . r  U ~ . w e i	nasalization in spelling for the first person singular morpheme	
কৰো	kro2	k O . r U ~	nasalization in spelling for the first person singular morpheme	
কৰোৱে	kro2we2	k O . r U ~ . w E	0	
কৰ্কট	kr+kt`	k O r . k O t	0	
কৰ্পোৰেছন	kr+po2re2Cn	k O r . p O . r E . s O n	0	
কৰৰা	krrA2	k O . r O . r a	0	
কৱ	kw	k O w	0	
খগেন	Kge2n	K O . g E n	0	
খঙ	KN	K O N	0	
খতম	Ktm	K O . t O m	0	
খন	Kn	K O n	0	
খনতো	Knto2	K O . n O . t U	0	
খন্দাৰ	Kn+dA2r	K O n . d a r	0	
খনৰ	Knr	K O . n O r	0	
খবৰ	Kbr	K O . b O r	0	
খবৰ-বাতৰি	Kbr-bA2trI2	K O . b O  r  # b a . t o . r i	0	
খবৰহে	Kbrhe2	K O . b O  r . h E	0	
খা	KA2	K a	0	
খাই	KA2I	K a i	0	
খাইছে	KA2ICe2	K a i . s E	0	
খাওঁ	KA2oM	K a o ~	0	
খাওক	KA2ok	K a o k	0	
খাটি	KA2t`I2	K a . t i	0	
খাতি	KA2tI2	K a . t i	0	
খাদ্যৰ	KA2d+Yr	K a i d .j O r	0	
খাব	KA2b	K a b O	0	
খাবলে	KA2ble2	K a . b O . l E	0	
খাবলৈ	KA2ble4	K a . b O . l oi	0	
খাবা	KA2bA2	K a . b a	0	
খাবাগে	KA2bA2ge2	K a . b a . g E	0	
খাম	KA2m	K a m	0	
খামুচি	KA2mU2cI2	K a . m u . s i	0	
খালা	KA2lA2	K a . l a	0	
খালি	KA2lI2	K a . l i	0	
খালী	KA2li2	K a . l i	0	
খালে	KA2le2	K a . l E	0	
খালেনে	KA2le2ne2	K a . l E . n E	0	
খালো	KA2lo2	K a . l U	0	
খাৰঘূলিত	KA2rGu2lI2t	K a  r  . G u . l i t	0	
খিনি	KI2nI2	K i . n i	0	
খিৰিকী	KI2rI2ki2	K i . r i . k i	0	
খিৰিকীৰ	KI2rI2ki2r	K i . r i . k i r	0	
খীন	Ki2n	K i n	0	
খুচৰি	KU2crI2	K u . s o . r i	0	
খুজি	KU2jI2	K u . z i	0	
খুজিছিল	KU2jI2CI2l	K u . z i . s i l	0	
খুজিছিলে	KU2jI2CI2le2	K u . z i . s i . l E	0	
খুজিছো	KU2jI2Co2	K u . z i . s U	0	
খুন্দা	KU2n+dA2	K u n . d a	0	
খুন্দি	KU2n+dI2	K u n . d i	0	
খুব	KU2b	K u b	0	
খুবেই	KU2be2I	K u . b e i	0	
খুৰা	KU2rA2	K u . r a	0	
খুৰীক	KU2ri2k	K u . r i k	0	
খুৰীহঁতে	KU2ri2hMte2	K u . r i . h O ~ t E	0	
খুৱাইছ	KU2wA2IC	K u . w a i  . s O	0	
খুৱাও	KU2wA2o	K u . w a O	0	
খুৱাব	KU2wA2b	K u . w a . b O 	0	
খুৱাবলে	KU2wA2ble2	K u . w a . b O . l E	0	
খুৱাবা	KU2wA2bA2	K u . w a . b a	0	
খুৱালো	KU2wA2lo2	K u . w a . l U	0	
খৃষ্টিয়ান	Kr2s`+t`I2yA2n	K  r i s . t i . j a n	0	
খৃষ্টিয়ানবস্তিলৈকে	Kr2s`+t`I2yA2nbs+tI2le4ke2	K r i s . t i . j a . n . b O s . t i . l oi . k E	0	
খেল	Ke2l	K E l	0	
খেলিবলৈ	Ke2lI2ble4	K e . l i . b o . l oi	0	
খোজ	Ko2j	K U z	0	
খোজকাঢ়িও	Ko2jkA2r`I2o	K U z . k a . r` i u	0	
খোজৰ	Ko2jr	K U . z O r	0	
খোৱা	Ko2wA2	K U . w a	0	
খোৱাই	Ko2wA2I	K u . w a i	0	
খোৱাৰ	Ko2wA2r	K U . w a r	0	
গ	g	g	0	
গ'ল	g'l	g o l	0	
গ'লানে	g'lA2ne2	g o . l a . n E	0	
গ'লে	g'le2	g o . l E	0	
গ'লেতো	g'le2to2	g o . l e . t u	0	
গ'লো	g'lo2	g o . l u	0	
গঁড়	gMR	g O ~ r`	0	
গগণ	ggn`	g O . g O n	0	
গগৈ	gge4	g o . g oi	0	
গছৰ	gCr	g O . s O r	0	
গঠিত	gT`I2t	g o . T i  . t O	0	
গণেশগুৰিলে	gn`e2SgU2rI2le2	g O . n E  s . g u . r i . l E	0	
গণ্য	gn`+Y	g O i n . j O	0	
গতি	gtI2	g o . t i	0	
গতিকেতো	gtI2ke2to2	g o . t i . k e . t u	0	
গত্যন্তৰ	gt+Yn+tr	g O t . j O n . t O r	0	
গধুলি	gDU2lI2	g o . D u . l i	0	
গধূলি	gDu2lI2	g o . D u . l i	0	
গধূলিকে	gDu2lI2ke2	g o . D u . l i . k E	0	
গধূলিহে	gDu2lI2he2	g o . D u . l i . h E	0	
গনেশগুৰি	gne2SgU2rI2	g O . n E  s . g u . r i	0	
গনেশগুৰিত	gne2SgU2rI2t	g O . n E  s . g u . r i t	0	
গনেশগুৰিলৈকে	gne2SgU2rI2le4ke2	g O . n E s . g u . r i . l oi . k E	0	
গম	gm	g O m	0	
গল	gl	g O l	0	
গলা	glA2	g O . l a	0	
গলিৰ	glI2r	g o . l i r	0	
গলে	gle2	g O . l E	0	
গলো	glo2	g O . l U	0	
গা	gA2	g a	0	
গা-	gA2-	g a	0	
গাঁওকেইখনৰ	gA2Moke2IKnr	g a ~ O . k e i . K O . n O r	0	
গাঁৱলৈ	gA2Mwle4	g a ~ w O . l oi	0	
গাঁৱৰ	gA2Mwr	g a ~ w O r	0	
গাওঁ	gA2oM	g a O ~	0	
গাওঁত	gA2oMt	g a O ~ O t	0	
গাখীৰ	gA2Ki2r	g a . K i r	0	
গাখীৰৰ	gA2Ki2rr	g a . K i . r O r	0	
গাটো	gA2t`o2	g a . t U	0	
গাড়ীৰ	gA2Ri2r	g a . r` i r	0	
গাত	gA2t	g a t	0	
গান	gA2n	g a n	0	
গান্ধী	gA2n+Di2	g a n . D i	0	
গান্ধীনগৰ	gA2n+Di2ngr	g a n . D i . n O . g O r	0	
গান্ধীৰ	gA2n+Di2r	g a n . D i r	0	
গানৰ	gA2nr	g a . n O r	0	
গাবানে	gA2bA2ne2	g a . b a . n E	0	
গালি	gA2lI2	g a . l i	0	
গাড়ীত	gA2Ri2t	g a . r i t	0	
গাড়ীৰ	gA2Ri2r	g a . r i r	0	
গাৰুৰ	gA2rU2r	g a . r u r	0	
গাৰ্লফ্ৰেন্ডক	gA2r+lP+re2n+d`k	g a r  l . P r E n . d O k	0	
গাৱত	gA2wt	g a . w O ~ t	0	
গিৰীনে	gI2ri2ne2	g i . r i . n E	0	
গীতত	gi2tt	g i . t O t	0	
গীতা	gi2tA2	g i . t a	0	
গীতালি	gi2tA2lI2	g i . t a . l i	0	
গীতাৰ্থ	gi2tA2r+T	g i . t a r . T O	0	
গুচি	gU2cI2	g u . s i	0	
গুজৰিবলৈ	gU2jrI2ble4	g u . z o . r i . b o . l oi	0	
গুড	gU2d`	g u d	0	
গুলীৰ	gU2li2r	g u . l i r	0	
গুৰিও	gU2rI2o	g u . r i u	0	
গুৰিতো	gU2rI2to2	g u . r i . t u	0	
গুৱাহাটী	gU2wA2hA2t`i2	g u . w a . h a . t i	0	
গুৱাহাটীতে	gU2wA2hA2t`i2te2	g u . w a . h a . t i . t E	0	
গুৱাহাটীলে	gU2wA2hA2t`i2le2	g u . w a . h a . t i . l E	0	
গুৱাহাটীৰ	gU2wA2hA2t`i2r	g u . w a . h a . t i r	0	
গুৱাহাটীৰে	gU2wA2hA2t`i2re2	g u . w a . h a . t i . r E	0	
গৈ	ge4	g oi	0	
গৈছা	ge4CA2	g oi . s a	0	
গৈছায়েই	ge4CA2ye2I	g oi . s a . j E i	0	
গৈছিল	ge4CI2l	g oi . s i l	0	
গৈছিলো	ge4CI2lo2	g oi . s i . l u	0	
গৈছে	ge4Ce2	g oi . s E	0	
গৈছেতো	ge4Ce2to2	g oi . s E . t U	0	
গৈছেনো	ge4Ce2no2	g oi . s E . n U	0	
গৈছেহে	ge4Ce2he2	g oi . s E . h E	0	
গৈছো	ge4Co2	g oi . s u	0	
গোট	go2t`	g U t	0	
গোটাই	go2t`A2I	g U . t a i	0	
গোটেই	go2t`e2I	g u . t e i	0	
গোটেই-	go2t`e2I-	g u . t e i	0	
গোটেইকেইটা	go2t`e2Ike2It`A2	g u . t e i . k e i . t a	0	
গোটেইখিনি	go2t`e2IKI2nI2	g u . t e i . K i . n i	0	
গোটেইবিলাক	go2t`e2IbI2lA2k	g u . t e i . b i . l a k	0	
গোবিন্দ	go2bI2n+d	g u . b i n d	0	
গোলাপীয়ে	go2lA2pi2ye2	g U . l a . p i . j E	0	
গোল্লা	go2l+lA2	g U l . l a	0	
গোসাইগাওঁ	go2sA2IgA2oM	g o . x a i . g a o ~	0	
গোস্বামী	go2s+bA2mi2	g U s . s a . m i	0	
গোস্বামীহঁতে	go2s+bA2mi2hMte2	g U s . s a . m i . h O ~ t E	0	
গোৱালপাৰা	go2wA2lpA2rA2	g U . w a l  . p a . r a	0	
গোৱালপাৰাটো	go2wA2lpA2rA2t`o2	g o . w a  l . p a . r a . t U	0	
গোৱালপাৰাত	go2wA2lpA2rA2t	g o . w a  l . p a . r a t	0	
গোৱালপাৰাতো	go2wA2lpA2rA2to2	g o . w a  l . p a . r a . t U	0	
গোৱালাপাৰা	go2wA2lA2pA2rA2	g o . w a  l . p a . r a	0	
গ্ৰহনৰ	g+rhnr	g r O . h O . n O r	0	
গ্ৰেজুৱেট	g+re2jU2we2t`	g r e . z u . w E t	0	
গ্ৰেজুৱেটৰ	g+re2jU2we2t`r	g r e . z u . w E . t O r	0	
গঢ়ি	gr`I2	g o . r` i	0	
গৰম	grm	g O . r O m	0	
গৰমত	grmt	g O . r O . m O t	0	
গৰাকী	grA2ki2	g O . r a . k i	0	
গৰু	grU2	g o . r u	0	
গৰুবাটটোত	grU2bA2t`t`o2t	g o . r u . b a t  . t U t	0	
গৰ্মেন্টতে	gr+me2n+t`te2	g O r . m E n . t O . t E	0	
গৰ্মেন্টৰ	gr+me2n+t`r	g O r . m E n . t O r	0	
ঘটং	Gt`W	G O . t O N	0	
ঘটি	Gt`I2	G o . t i	0	
ঘটিছে	Gt`I2Ce2	G o . t i . s E	0	
ঘটী-লোটা	Gt`i2-lo2t`A2	G o . t i # l U . t a	0	
ঘটোৱাটো	Gt`o2wA2t`o2	G O . t U . w a . t U	0	
ঘাঁ	GA2M	G a ~	0	
ঘাঁহনি	GA2MhnI2	G a ~ h o . n i	0	
ঘাটত	GA2t`t	G a . t O t	0	
ঘান্টা	GA2n+t`A2	G a n . t a	0	
ঘুৰি	GU2rI2	G u . r i	0	
ঘূৰা-ফুৰা	Gu2rA2-PU2rA2	G u . r a # P u . r a	0	
ঘূৰাই	Gu2rA2I	G u . r a i	0	
ঘূৰিছো	Gu2rI2Co2	G u . r i . s U	0	
ঘেৰ	Ge2r	G E r	0	
ঘেৰিয়াকে	Ge2rI2yA2ke2	G e . r i . j a . k E	0	
ঘৈণীয়েকক	Ge4n`i2ye2kk	G oi . n i . j E . k O k	0	
ঘৰ	Gr	G O r	0	
ঘৰ-দুৱাৰ	Gr-dU2wA2r	G O  r  # d u . w a r	0	
ঘৰটোত	Grt`o2t	G O  r  . t U t	0	
ঘৰত	Grt	G O . r O t	0	
ঘৰতনে	Grtne2	G O . r O t  . n E	0	
ঘৰতে	Grte2	G O . r O . t E	0	
ঘৰতো	Grto2	G O . r O . t U	0	
ঘৰলে	Grle2	G O . r O . l E	0	
ঘৰলৈ	Grle4	G O . r O . l oi	0	
ঘৰৰ	Grr	G O . r O r	0	
চ'থাদিনা	c'TA2dI2nA2	s O . T a i. d i . n a	0	
চ'ফাৰ	c'PA2r	s O . P a r	0	
চইচা	cIcA2	s i . s a	0	
চকমক	ckmk	s O  k  . m O k	0	
চকামকা	ckA2mkA2	s O . k a . m O . k a	0	
চন	cn	s O n	0	
চনত	cnt	s O . n O t	0	
চন্দ্ৰ	cn+d+r	s O n . d r O	0	
চব	cb	s O b	0	
চবতে	cbte2	s O . b O . t E	0	
চবেই	cbe2I	s O . b e i	0	
চবৰ	cbr	s O . b O r	0	
চবৰে	cbre2	s O . b O . r E	0	
চমা	cmA2	s O . m a	0	
চলচিত্ৰৰ	clcI2t+rr	s O . l o . s i . t r O r	0	
চলপ	clp	s O . l O p	0	
চলাই	clA2I	s O . l a i	0	
চলাইছ	clA2IC	s O . l a i . s O	0	
চলি	clI2	s o . l i	0	
চলিউছন	clI2UCn	s o . l i u . s O n	0	
চলিছে	clI2Ce2	s o . l i . s E	0	
চলে	cle2	s O . l E	0	
চল্লিছ	cl+lI2C	s O l . l i s	0	
চহকী	chki2	s o . h o . k i	0	
চহৰ	chr	s O . h O r	0	
চহৰ-চহৰখনলৈকে	chr-chrKnle4ke2	s O . h O  r  # s O . h O  r  . K O . n O . l oi . k E	0	
চা	cA2	s a	0	
চা-	cA2-	s a	0	
চাই	cA2I	s a i	0	
চাইছিলি	cA2ICI2lI2	s a i . s i . l i	0	
চাইছে	cA2ICe2	s a i . s E	0	
চাইছো	cA2ICo2	s a i . s u	0	
চাইডেদি	cA2Id`e2dI2	s a i . d e . d i	0	
চাইডৰ	cA2Id`r	s a i . d O r	0	
চাউণ্ডতো	cA2Un`+d`to2	s a u n . d O . t U	0	
চাউলৰ	cA2Ulr	s a u . l O r	0	
চাও	cA2o	s a U ~	0	
চাওঁ	cA2oM	s a U ~	0	
চাওঁতে	cA2oMte2	s a U ~ t E	0	
